product_cat,name,pa_brand,,sku,short,description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating,,,,,,,,,,,,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,76171,1207012LBRB02,120/70-12,BST,B02,HOOP,51L,(U),120,70,12,L,51,B02,2,28.95,B02,MOTORCYCLE,TYRES,,12,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,78548,909010JBRB01,90/90-10,BST,B01,HOOP,50J,(U),90,90,10,J,40,HOOP,1,20.45,B01,MOTORCYCLE,TYRES,,10,INCH,RIM,&,BELOW,N,N,,,0,,0,0
tyres,Micheldever,-0,Halifax,BRIDGESTONE,76026,1209010JBRML50,120/90-10,BST,ML50,56J,(U),120,90,10,J,56,ML50,1,24.95,ML50,MOTORCYCLE,TYRES,,10,INCH,RIM,&,BELOW,N,N,,,0,,0,0,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,76018,1307010JBRML50,130/70-10,BST,ML50,52J,(U),130,70,10,J,52,ML50,0,25.95,ML50,MOTORCYCLE,TYRES,,10,INCH,RIM,&,BELOW,N,N,,,0,,0,0,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,76028,1309010JBRML50,130/90-10,BST,ML50,61J,(U),130,90,10,J,61,ML50,1,27.95,ML50,MOTORCYCLE,TYRES,,10,INCH,RIM,&,BELOW,N,N,,,0,,0,0,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,76006,1208012JBRML50,120/80-12,BST,ML50,54J,(U),TL,120,80,12,J,54,ML50,1,28.95,ML50,MOTORCYCLE,TYRES,,12,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,76247,1109013PBRB03,110/90-13,BST,B03,HOOP,55P,(F),110,90,13,P,55,B03,1,34.1,B03,MOTORCYCLE,TYRES,,13,Inch,Rim,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,76172,1306013LBRB02,130/60-13,BST,B02,HOOP,53L,(U),130,60,13,L,53,HOOP,0,33.95,B03,MOTORCYCLE,TYRES,,13,Inch,Rim,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,76248,1307013PBRB02,130/70-13,BST,B02,HOOP,63P,(R),130,70,13,P,63,HOOP,0,39.95,B02,MOTORCYCLE,TYRES,,13,Inch,Rim,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,76031,1406013LBRML50,140/60-13,BST,ML50,57L,(U),140,60,13,L,57,ML50,1,34.95,ML50,MOTORCYCLE,TYRES,,13,Inch,Rim,N,N,,,0,,0,0,,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,77348,1708015SBRG702,170/80-15,BST,G702,77S,(R),TT,170,80,15,S,77,G702,0,83.95,G702,MOTORCYCLE,TYRES,,15,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,76064,1807015HBRG702,180/70-15,BST,G702,76H,(R),180,70,15,H,76,G702,0,89.95,G702,MOTORCYCLE,TYRES,,15,INCH,RIM,N,N,,,0,,0,0,,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,73583,30017PBRL301,3.00-17,BST,L301,45P,(F),TT,300,80,17,P,45,L301,1,31.95,L301,MOTORCYCLE,TYRES,,17,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,72974,1209016PBRTW40,120/90-16,BST,TW40,63P,TT,R,120,90,16,P,63,TW40,1,49.95,TW40,MOTORCYCLE,TYRES,,16,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,METZELER,931100,1207010LMEME7,120/70-10,METZ,ME7,RF54L,TL(U),120,70,10,L,54,ME7,4,22.19,ME7,MOTORCYCLE,TYRES,,10,INCH,RIM,&,BELOW,N,N,,,0,,0,0,
tyres,Micheldever,-0,Halifax,BRIDGESTONE,74717,27521PBRTW301,2.75-21,BST,TW301,45P,(F),TT,275,80,21,P,45,TW301,0,30.95,TW301,MOTORCYCLE,TYRES,,21,INCH,RIM,&,ABOVE,N,N,,,0,,0,0
tyres,Micheldever,-0,Halifax,METZELER,931700,1207013LMEME7,120/70-13,METZ,ME7,53L,TL,,(U),120,70,13,L,53,ME7,0,25.21,ME7,MOTORCYCLE,TYRES,,12,INCH,RIM,N,N,,,0,,0,0,
tyres,Micheldever,-0,Halifax,METZELER,893900,1306013LMEME7,130/60-13,METZ,ME7,TEEN,53L,TL,130,60,13,L,53,ME7,0,25.43,ME7,MOTORCYCLE,TYRES,,13,Inch,Rim,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,METZELER,1042200,1408015HMEME880,140/80B15,METZ,ME880,67H,TL(R),140,80,15,H,67,ME880,0,86.82,ME880,MOTORCYCLE,TYRES,,15,INCH,RIM,N,N,,,0,,0,0,,,
tyres,Micheldever,-0,Halifax,METZELER,1042600,1807016HMEME880,180/70R16,METZ,ME880,RF,77H,(R,180,70,16,H,77,ME880,1,118.94,ME880,MOTORCYCLE,TYRES,,16,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,METZELER,2045500,30018PMEME22,3.00-18,METZ,ME22,RF52P,TL,(U),300,80,18,P,52,ME22,7,24.57,ME22,MOTORCYCLE,TYRES,,18,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,METZELER,109800,30019PMEBLOCK,3.00-19,METZ,BLOCK,C,RF54P,TT(U,300,80,19,P,54,BLOCK,0,41.72,BLOCK,MOTORCYCLE,TYRES,,19,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,METZELER,1040700,1009019HMEME880,100/90-19,METZ,ME880,57H,F,TL,100,90,19,H,57,ME880,1,69.83,ME880,MOTORCYCLE,TYRES,,19,INCH,RIM,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,AIRVERT,,FPLATE5-120RR,5-120,FINGER,PLATE,-0,R/ROVER,,,,,,,0,145,,NEW,REPAIR,MATERIALS,,Balance,Weight,Acc,N,N,,,0,,0,0,,
tyres,Micheldever,-0,Halifax,AIRVERT,,FPLATE4-98,4-098,FINGER,PLATE,,,,,,,0,80,,NEW,REPAIR,MATERIALS,,Balance,Weight,Acc,N,N,,,0,,0,0,,,,
tyres,Micheldever,-0,Halifax,AIRVERT,,FPLATE4-100.6,4-101.6,FINGER,PLATE,,,,,,,0,80,,NEW,REPAIR,MATERIALS,,Balance,Weight,Acc,N,N,,,0,,0,0,,,,
tyres,Micheldever,-0,Halifax,AIRVERT,,FPLATE4-108,4-108,FINGER,PLATE,,,,,,,0,0,,NEW,REPAIR,MATERIALS,,Balance,Weight,Acc,N,N,,,0,,0,0,,,,
tyres,Micheldever,-0,Halifax,AIRVERT,,FPLATE5-108,5-108,FINGER,PLATE,,,,,,,0,80,,NEW,REPAIR,MATERIALS,,Balance,Weight,Acc,N,N,,,0,,0,0,,,,
tyres,Micheldever,-0,Halifax,AIRVERT,,FPLATE5-4.75,5-4.75,INCH,FINGER,PLATE,,,,,,,0,0,,NEW,REPAIR,MATERIALS,,Balance,Weight,Acc,N,N,,,0,,0,0,,,
tyres,Micheldever,-0,Halifax,FIRESTONE,29484,2156015VFIF700,215/60R15,FSTONE,F700,94V,215,60,15,V,94,F700,2,49.82,F700,CAR,TYRES,,15,INCH,RIM,N,N,C1,F,0,C,71,2,,,,
